Question,Equation,Answer,Numbers
A small publishing company is planning to publish a new book. The production costs will include one-time fixed costs and variable costs. The one-time fixed costs will amount to N_00 dollars. The variable costs will be N_01 dollars per book. The publisher will sell the finished product to bookstores at a price of N_02 dollars per book. How many books must the publisher print and sell so that the production costs will equal the money obtained from sales?,v0 = N_00 / ( N_02 - N_01 ),4072.0,35630.0 11.5 20.25
Last week Tom had N_00 dollars. He washed cars over the weekend and now has N_01 dollars. How much money did he make washing cars?,v0 = N_01 - N_00,12.0,74.0 86.0
There are N_00 crayons in the drawer. Benny placed N_01 crayons in the drawer. How many crayons are now there in total?,v0 = N_00 + N_01,12,9.0 3.0
Dan joined his school's band. He bought a clarinet for $ N_00 and a songbook which was $ N_01 . Dan found $ N_02 in his pocket. How much did Dan spend at the music store?,v0 = N_00 + N_01,141.54,130.3 11.24 12.32
"A renovation project required N_01 of a truckload of sand, N_00 of a truckload of dirt, and N_01 of a truckload of cement. How many truckloads of material were needed in all?",v0 = N_01 + N_00 + N_01,0.6666666666666666,0.3333333333333333 0.16666666666666666
"Ryan has N_00 marbles and N_01 blocks. If he shares the marbles among N_02 friends, how many marbles does each friend get?",v0 = ( N_00 / N_02 ),8.0,72.0 17.0 9.0
Mrs. Sheridan has N_00 cats. How many more cats does Mrs. Sheridan need to have N_01 cats?,v0 = ( N_01 - N_00 ),32.0,11.0 43.0
A disc jockey now charges N_00 dollars for a full night of music. He recently decreased his price by N_01 . What did he charge before the decrease in dollars?,v0 = N_00 / ( 1.0 - ( 8.0 * 0.01 ) ),14760.87,13580.0 0.08
Martha starts with N_00 cards. She gets N_01 more from Emily. How many cards does Martha end with?,v0 = ( N_00 + N_01 ),79.0,3.0 76.0
"Last year, egg producers in Douglas County produced N_00 eggs. This year, those same farms produced N_01 eggs. How many more eggs did the farms produce this year?",v0 = N_01 - N_00,3220.0,1416.0 4636.0
"There are N_00 walnut trees currently in the park. Park workers will plant more walnut trees today. When the workers are finished, there will be N_01 walnut trees in the park. How many walnut trees did the workers plant today?",v0 = N_01 - N_00,33.0,22.0 55.0
"Roger had N_00 books. If he sold N_01 of them and used the money he earned to buy N_02 new books, how many books would Roger have?",v0 = ( ( N_00 + N_02 ) - N_01 ),34.0,25.0 21.0 30.0
"The total number of students absent from B. Jones High School on a Monday after a significant snowfall was N_00 . The total attendance that day was N_01 . How many students, in total, attend B. Jones High School?",v0 = N_01 + N_00,1705.0,218.0 1487.0
"If N_00 shirts and N_01 jerseys cost N_02 dollars, calculate the cost of each shirt, given that the cost of a single jersey is N_03 dollars.",v0 = ( N_02 - N_01 * N_03 ) / N_00,55.0,4.0 5.0 370.0 30.0
Connie has N_00 red markers and N_01 blue markers. How many markers does she have altogether?,v0 = ( N_00 + N_01 ),105.0,41.0 64.0
"Molly owns the Wafting Pie Company. This morning, her employees used N_00 eggs to bake pumpkin pies. If her employees used a total of N_01 eggs today, how many eggs did they use in the afternoon?",v0 = N_01 - N_00,523.0,816.0 1339.0
A car costs N_00 dollars and is N_01 off. What was the original price of the car?,v0 = N_00 / ( 1.0 - ( 20.0 * 0.01 ) ),15737.5,12590.0 0.2
"Tom had N_00 dollars. If he spent N_01 bucks on a new game, how many N_02 dollar toys could he buy with the money he had left?",v0 = ( ( N_00 - N_01 ) / N_02 ),2.0,57.0 49.0 4.0
"Rachel was organizing her bookcase, making sure each of the shelves had exactly N_00 books on it. If she had N_01 shelves of mystery books and N_02 shelves of picture books, how many books did she have in total?",v0 = ( N_00 * ( N_01 + N_02 ) ),72.0,9.0 6.0 2.0
"While playing a trivia game, George answered N_00 questions correctly in the first half and N_01 questions correctly in the second half. If each question was worth N_02 points, what was his final score?",v0 = ( N_02 * ( N_00 + N_01 ) ),30.0,6.0 4.0 3.0
Dan bought N_00 dozen eggs from the grocery store to bake some cakes. How many eggs did Dan buy?,v0 = N_00 * 12.0,108.0,9.0
Haley's favorite band was holding a concert where tickets were N_00 dollars each. Haley bought N_01 tickets for herself and her friends and N_02 extra tickets in case anyone else wanted to go. How much did she spend?,v0 = ( N_00 * ( N_01 + N_02 ) ),32.0,4.0 3.0 5.0
"A car rental agency advertised renting a luxury, full-size car for N_00 dollars per day and N_01 dollars per mile. If you rent this car for N_02 days, how many whole miles can you drive if you only have N_03 dollars to spend?",v0 = ( N_03 - N_02 * N_00 ) / N_01,153.0,24.95 0.49 5.0 200.0
"Melanie, Benny, Sally, and Jessica each have N_00 baseball cards. How many baseball cards do they have in all?",v0 = 4.0 * N_00,12.0,3.0
She counted her crayons and found out that she has N_00 crayons which she will place in crayon boxes. Every box can contain N_01 crayons. How many boxes does she need?,v0 = N_00 / N_01,10.0,80.0 8.0
"A book is on sale for N_00 off. If the regular price is N_01 dollars, what is the sale price?",v0 = ( 1.0 - 10.0 * 0.01 ) * N_01,25.11,0.1 27.9
Each bottle cap costs $ N_00 . How much do N_00 bottle caps cost?,v0 = ( N_00 * N_00 ),25.0,5.0
Jason found N_00 seashells and N_01 starfish on the beach. He gave N_02 of the seashells to Tim. How many seashells does Jason now have?,v0 = N_00 - N_02,36,49.0 48.0 13.0
"After eating at the restaurant, Sally, Sam, and Alyssa decided to divide the bill evenly. If each person paid N_00 dollars, what was the total of the bill?",v0 = N_00 * 3.0,135.0,45.0
Roadster's Paving Company used N_00 tons of cement to pave Lexi's street and N_01 tons of cement to pave Tess's street. How much cement did Roadster's Paving Company use in all?,v0 = N_00 + N_01,15.1,10.0 5.1
"April's discount flowers was having a sale where each flower was N_00 dollars. If Maria bought N_01 roses and N_02 daisies, how much did she spend?",v0 = ( N_00 * ( N_01 + N_02 ) ),60.0,6.0 7.0 3.0
"Oliver had N_00 dollars. For his birthday, he got N_01 more dollars but spent N_02 on a new game. How much money does he have now?",v0 = ( ( N_00 + N_01 ) - N_02 ),1.0,35.0 50.0 84.0
"For the school bake sale, Maria made N_00 cupcakes. If she sold N_01 of them and then made N_02 more, how many cupcakes would she have?",v0 = ( ( N_00 + N_02 ) - N_01 ),24.0,19.0 5.0 10.0
"Sam had saved N_00 dollars. If he received another N_01 dollars for his allowance, how many N_02 dollar toys could he buy?",v0 = ( ( N_00 + N_01 ) / N_02 ),5.0,8.0 7.0 3.0
Arthur baked N_00 muffins. James baked N_01 times as many. How many muffins did James bake?,v0 = ( N_00 * N_01 ),1380.0,115.0 12.0
Connie had some marbles. She gave N_00 to Juan. Now she has N_01 marbles left. How many did she have to start with?,v0 = ( N_00 + N_01 ),776.0,183.0 593.0
"A vase can hold N_00 flowers. If you had N_01 carnations and N_02 roses, how many vases would you need to hold the flowers?",v0 = ( ( N_01 + N_02 ) / N_00 ),5.0,5.0 6.0 19.0
"For the school bake sale, Chloe made N_00 cupcakes. If she sold N_01 of them and then made N_02 more, how many cupcakes would she have?",v0 = ( ( N_00 + N_02 ) - N_01 ),11.0,28.0 25.0 8.0
Wendy ran N_00 miles and walked N_01 miles. How much farther did Wendy run than walk?,v0 = N_00 - N_01,10.666666666666666,19.833333333333332 9.166666666666666
Jovana had N_00 pounds of shells in her bucket. She added some shells and now has N_01 pounds of shells. How many pounds did she add?,v0 = ( N_01 - N_00 ),23.0,5.0 28.0
There are N_00 dozen calories in a candy bar. How many calories are there in N_01 candy bars?,v0 = ( N_00 * 12.0 ) * N_01,2016.0,4.0 42.0
Tim found N_00 seashells and N_01 starfish on the beach. He gave N_02 of the seashells to Sara. How many seashells does Tim now have?,v0 = N_00 - N_02,507,679.0 110.0 172.0
A restaurant made N_00 hamburgers and N_01 hot dogs to serve during lunch. Only N_02 hamburgers were actually served. How many hamburgers were left over?,v0 = N_00 - N_02,6,9.0 4.0 3.0
"Adam earned N_00 dollars for each lawn he mowed. If he had N_01 lawns to mow but forgot to mow N_02 of them, how much money did he actually earn?",v0 = ( N_00 * ( N_01 - N_02 ) ),36.0,9.0 12.0 8.0
"A new building needed N_00 windows. The builder had already installed N_01 of them. If it takes N_02 hours to install each window, how long will it take him to install the rest?",v0 = ( N_02 * ( N_00 - N_01 ) ),56.0,11.0 4.0 8.0
Joan picked N_00 apples from the orchard and gave N_01 apples to Melanie. How many apples does Joan have now?,v0 = N_00 - N_01,16.0,43.0 27.0
"A furniture store marks up items N_00 . If the furniture store buys a couch for N_01 dollars, what will the selling price be, in dollars?",v0 = N_01 + ( ( N_01 * 20.0 ) * 0.01 ),420.0,0.2 350.0
Sarah has N_00 bottle caps. She buys N_01 more. How many bottle caps does Sarah have in all?,v0 = ( N_00 + N_01 ),29.0,26.0 3.0
"In a video game, each enemy defeated gives you N_00 points. If a level has N_01 enemies total and you destroy all but N_02 of them, how many points would you earn?",v0 = ( N_00 * ( N_01 - N_02 ) ),10.0,5.0 8.0 6.0
"At the beach, Miki and her sister both built sandcastles and then measured their heights. Miki's sandcastle was N_00 feet tall, and her sister's was N_01 feet tall. How much taller was Miki's sandcastle than her sister's?",v0 = N_00 - N_01,0.3333333333333333,0.8333333333333334 0.5
A truck carrying N_00 pounds of sand travels to a construction yard and loses N_01 pounds of sand along the way. How much sand does the truck have when it arrives at the yard?,v0 = N_00 - N_01,1.7,4.1 2.4
"Sam had to wash N_00 short sleeve shirts and N_01 long sleeve shirts before school. If he had only washed N_02 of them by the time school started, how many did he not wash?",v0 = ( ( N_00 + N_01 ) - N_02 ),34.0,40.0 23.0 29.0
There are N_00 children in the classroom. Each student will get N_01 dozen pencils. How many pencils will the teacher have to give out?,v0 = N_00 * ( N_01 * 12.0 ),2208.0,46.0 4.0
"There were N_00 friends playing a video game online when N_00 more players joined the game. If each player had N_01 lives, how many lives did they have in total?",v0 = ( N_01 * ( N_00 + N_00 ) ),12.0,2.0 3.0
There are N_00 oranges in a box. Paula takes N_01 oranges. How many are left?,v0 = ( N_00 - N_01 ),15.0,22.0 7.0
"A home purchased for N_00 dollars depreciated N_01 over a N_02 -year period. What was the value of the home after at the end of the year, in dollars?",v0 = N_00 - ( ( N_00 * 8.0 ) * 0.01 ),276000.0,300000.0 0.08 1.0
"The school cafeteria ordered N_00 red apples and N_01 green apples for students' lunches. But, if only N_02 students wanted fruit, how many extras did the cafeteria end up with?",v0 = ( ( N_00 + N_01 ) - N_02 ),16.0,6.0 15.0 5.0
"Kristi jogged for N_00 of an hour, swam for N_01 of an hour, and rode her bicycle for N_02 of an hour. How long did she exercise?",v0 = ( N_00 + N_01 ) + N_02,1.85,0.6 0.5 0.75
Stephanie went to the store N_00 times last month. She buys N_01 oranges each time she goes to the store. How many oranges did Stephanie buy last month?,v0 = ( N_00 * N_01 ),16.0,8.0 2.0
"Michelle began her pizza delivery route with N_00 of a tank of gas in her car. When she made it back to the pizzeria, N_01 of a tank of gas was left. How much gas did Michelle use?",v0 = N_00 - N_01,0.3333333333333333,0.5 0.16666666666666666
Darius drove N_00 miles to visit his grandmother. Julia drove N_01 miles to visit her grandmother. What is the total number of miles Darius and Julia drove?,v0 = ( N_00 + N_01 ),1677.0,679.0 998.0
"Bianca's team won their dodgeball game and scored N_00 points total. If Bianca scored N_01 of the points and everyone else scored N_02 points each, how many players were on her team?",v0 = ( ( N_00 - N_01 ) / N_02 ),5.0,75.0 45.0 6.0
Kate has N_00 pennies. John has N_01 pennies. How many more pennies does John have?,v0 = ( N_01 - N_00 ),165.0,223.0 388.0
"Mary found N_00 seashells, and Jessica found N_01 seashells on the beach. How many seashells did they find together?",v0 = N_00 + N_01,59,18.0 41.0
"Henry earned N_00 dollars for each lawn he mowed. If he had N_01 lawns to mow but forgot to mow N_02 of them, how much money did he actually earn?",v0 = ( N_00 * ( N_01 - N_02 ) ),25.0,5.0 12.0 7.0
"Mary, Sam, Keith, and Alyssa each have N_00 baseball cards. How many baseball cards do they have in all?",v0 = 4.0 * N_00,24.0,6.0
"While making desserts for a bake sale, Victor used N_00 of a scoop of brown sugar as well as N_01 of a scoop of white sugar. How much more brown sugar did Victor use?",v0 = N_00 - N_01,0.375,0.625 0.25
"Bobby ate N_00 pieces of candy. Then, he ate N_01 more. How many pieces of candy did Bobby eat?",v0 = ( N_00 + N_01 ),43.0,26.0 17.0
"The school cafeteria had N_00 apples. If they used N_01 to make lunch for the students and then bought N_02 more, how many apples would they have?",v0 = ( ( N_00 + N_02 ) - N_01 ),50.0,14.0 13.0 49.0
Marie starts with N_00 erasers. She loses N_01 . How many erasers does Marie end with?,v0 = ( N_00 - N_01 ),53.0,95.0 42.0
"I need to figure out how to get the amount from a phone bill sent to Boston on June N_00 . The Rate for First Minute is N_01 , the Rate for Additional Minutes is N_02 , and the Total Minutes are N_03 . How much is the bill?",v0 = N_01 + ( N_02 * ( N_03 - 1.0 ) ),6.45,16.0 0.4698 0.374 17.0
"Paco's Countertop Company purchased pieces of marble from a quarry. The weights of the pieces they purchased were N_00 of a ton, N_00 of a ton, and N_01 of a ton. How many tons of marble did Paco's Countertop Company purchase in all?",v0 = N_00 + N_00 + N_01,0.75,0.3333333333333333 0.08333333333333333
There were a total of N_00 baseball games a month. The season is played for N_01 months. How many baseball games are in a season?,v0 = N_00 * N_01,14.0,7.0 2.0
The difference of N_00 and N_01 times a number is the same as the sum of the number and N_02 . Find the number.,v0 = ( N_00 - - 10.0 ) / ( N_01 + 1.0 ),6.0,14.0 3.0 -10.0
"The next act involved several jugglers. If each juggler is juggling N_00 balls at a time, how many balls are needed if there are N_01 jugglers putting on a show at the same time?",v0 = N_00 * N_01,2268.0,6.0 378.0
"Mrs. Hilt baked pies last weekend for a holiday dinner. She baked N_00 pecan pies and N_01 apple pies. If she wants to arrange all of the pies in rows of N_02 pies each, how many rows will she have?",v0 = ( N_00 + N_01 ) / N_02,6.0,16.0 14.0 5.0
"Your class had a pizza party. N_00 of a pizza was leftover, and N_01 of another pizza was leftover. You put them both into one box. How much pizza do you have altogether?",v0 = ( N_00 + N_01 ),0.875,0.375 0.5
Sara had N_00 peaches and N_01 pears at her fruit dish. She went to the orchard and picked peaches. There are now N_02 peaches. How many did she pick?,v0 = N_02 - N_00,37,24.0 37.0 61.0
Sandy grew N_00 carrots and N_01 turnips. Mary grew N_02 carrots. How many carrots did they grow in all?,v0 = N_00 + N_02,14,8.0 7.0 6.0
Emily sprinted to Timothy's house. It is N_00 miles from Emily's house to Timothy's house. It took Emily N_01 hours to get there. How fast did Emily go?,v0 = ( N_00 / N_01 ),5.0,10.0 2.0
"A bucket contains N_00 gallons of water. If Derek adds N_01 gallons more, how many gallons will there be in all?",v0 = N_00 + N_01,9.8,3.0 6.8
